,No.,Nama Instagram,Komentar,Kategori,Tanggal Posting,Nama Akun IG  Artis/Selebgram,Unnamed: 6,Unnamed: 7,Teks_Bersih,Tokens
445,446,@lilac_loversss,"""Alasan setan ama setan, KARNA KALO SETAN SAMA BIDADARI, SAYAPNYA RONTOK, DICEKER, DIGIGIT, DIJAMBAK2""",Bullying,2 Juni 2020,@eeericko,,,alas setan setan kalo setan bidadari sayap rontok ceker gigit jambak,"['alas', 'setan', 'setan', 'kalo', 'setan', 'bidadari', 'sayap', 'rontok', 'ceker', 'gigit', 'jambak']"
446,447,@viukorean,"""Lagian juga Erick gak ada akhlak jelek lagi Listy juga jelek""",Bullying,2 Juni 2020,@eeericko,,,erick enggak akhlak jelek listy jelek,"['erick', 'enggak', 'akhlak', 'jelek', 'listy', 'jelek']"
447,448,@haeyraa_,"""Setan ma setan mahh emg cocokk udee""",Bullying,2 Juni 2020,@eeericko,,,setan setan cocok ude,"['setan', 'setan', 'cocok', 'ude']"
448,449,@mochzakin,"""Lonte kurus pucet kek mayat hidup""",Bullying,2 Juni 2020,@eeericko,,,lonte kurus pucet kayak mayat hidup,"['lonte', 'kurus', 'pucet', 'kayak', 'mayat', 'hidup']"
449,450,@maulna_adnan,"""Itu muka apa tutup panci wkwkekek jelek nya ampe ke ubun ubun""",Bullying,2 Juni 2020,@eeericko,,,muka tutup panci wkwkekek jelek ubun ubun,"['muka', 'tutup', 'panci', 'wkwkekek', 'jelek', 'ubun', 'ubun']"
450,451,@govinda_hutasoit,"""@xrickolim smngat trus bro tiada manusia yg sempurna kmu pasti bisa bangkit n jadi lebih baik GBU keepstrong""",Non-bullying,9 Agustus 2020,@eeericko,,,semangat bro tiada manusia sempurna bangkit n gbu keepstrong,"['semangat', 'bro', 'tiada', 'manusia', 'sempurna', 'bangkit', 'n', 'gbu', 'keepstrong']"
451,452,@rizkibryn_,"""bego anak orang udah ga perawan noh gara"" lu wkwkw""",Bullying,9 Agustus 2020,@eeericko,,,bego anak orang enggak perawan noh gara lu wkwkw,"['bego', 'anak', 'orang', 'enggak', 'perawan', 'noh', 'gara', 'lu', 'wkwkw']"
452,453,@renaldiode_93,"""Frustasi..Sudah habis uangnya..Kasihannn""",Bullying,9 Agustus 2020,@eeericko,,,frustasi habis uang kasihan,"['frustasi', 'habis', 'uang', 'kasihan']"
453,454,@naufal.apta7,"""Bro buat lu pada yg ngehujat erick tpi masih punya masala sendiri jangan sok keras""",Non-bullying,9 Agustus 2020,@eeericko,,,bro lu hujat erick masala sok keras,"['bro', 'lu', 'hujat', 'erick', 'masala', 'sok', 'keras']"
454,455,@kiy12456,"""Semangat Rick untuk usaha barunya""",Non-bullying,9 Agustus 2020,@eeericko,,,semangat rick usaha baru,"['semangat', 'rick', 'usaha', 'baru']"
455,456,@murtiani940,"""Hadehh muka kaya tong sampah .""",Bullying,9 Agustus 2020,@eeericko,,,hadeh muka kayak tong sampah,"['hadeh', 'muka', 'kayak', 'tong', 'sampah']"
456,457,@bengkulu__kocak,"""banyak banget omongan kasar disini, tobat lah kawan kawan.. cukup comment kasar nya""",Non-bullying,9 Agustus 2020,@eeericko,,,omong kasar tobat kawan kawan comment kasar,"['omong', 'kasar', 'tobat', 'kawan', 'kawan', 'comment', 'kasar']"
457,458,@joy81shop,"""Ni org jelek ga ada obat.kok jj mau liat apa ya..""",Bullying,9 Agustus 2020,@eeericko,,,nih orang jelek enggak obat lihat,"['nih', 'orang', 'jelek', 'enggak', 'obat', 'lihat']"
458,459,@habibiwijaya_,"""Semangat bang, walaupun banyak orang yang ngejudge lu. Jangan peduliin mereka""",Non-bullying,9 Agustus 2020,@eeericko,,,semangat bang orang ngejudge lu peduli,"['semangat', 'bang', 'orang', 'ngejudge', 'lu', 'peduli']"
459,460,@tinushanstats,"""Tuhan yesus baik semangat rick""",Non-bullying,9 Agustus 2020,@eeericko,,,tuhan yesus semangat rick,"['tuhan', 'yesus', 'semangat', 'rick']"
460,461,@edwin.afr,"""Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)""",Non-bullying,9 Agustus 2020,@eeericko,,,balas komen hate bang bikin sakit jempol mending karya,"['balas', 'komen', 'hate', 'bang', 'bikin', 'sakit', 'jempol', 'mending', 'karya']"
461,462,@okkybray,"""Eh lo nyadar ga ? Udah dekil terus tatoan, jadi nya kaya daki haha""",Bullying,9 Agustus 2020,@eeericko,,,eh lo sadar enggak dekil tato kayak daki haha,"['eh', 'lo', 'sadar', 'enggak', 'dekil', 'tato', 'kayak', 'daki', 'haha']"
462,463,@aimdumb,"""jelek dapet selingkuhan jelek juga keren yaa imbang wkkw""",Bullying,9 Agustus 2020,@eeericko,,,jelek selingkuh jelek keren imbang wkkw,"['jelek', 'selingkuh', 'jelek', 'keren', 'imbang', 'wkkw']"
463,464,@galangnusantaraputra,"""Wah ngehina fisik ni orang,ga bener ya wkwkwkwk""",Non-bullying,9 Agustus 2020,@eeericko,,,hina fisik nih orang enggak wkwkwkwk,"['hina', 'fisik', 'nih', 'orang', 'enggak', 'wkwkwkwk']"
464,465,@anggariskyananda,"""BUNUH DIRI LAH SONO GOBLOX""",Bullying,9 Agustus 2020,@eeericko,,,bunuh sono goblox,"['bunuh', 'sono', 'goblox']"
465,466,@yayanmulyana__,"""Sabar semua komentar ini ujian""",Non-bullying,9 Agustus 2020,@eeericko,,,sabar komentar uji,"['sabar', 'komentar', 'uji']"
466,467,@andhikaprat_,"""Santai rick yg ngehujat lo belom tau perjalanan hidup lo aja! Mereka hanya sok suci!""",Non-bullying,9 Agustus 2020,@eeericko,,,santai rick hujat lo tau jalan hidup lo sok suci,"['santai', 'rick', 'hujat', 'lo', 'tau', 'jalan', 'hidup', 'lo', 'sok', 'suci']"
467,468,@real_sya9818,"""Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank""",Non-bullying,9 Agustus 2020,@eeericko,,,sabar semangat ngejar karirnya dengar orang ngebacot komen,"['sabar', 'semangat', 'ngejar', 'karirnya', 'dengar', 'orang', 'ngebacot', 'komen']"
468,469,@kennjiii_077,"""Erick masuk neraka jalur selingkuh bos""",Bullying,9 Agustus 2020,@eeericko,,,erick masuk neraka jalur selingkuh bos,"['erick', 'masuk', 'neraka', 'jalur', 'selingkuh', 'bos']"
469,470,@plugstamp,"""Trs berkarya walaupun brd di titik sprti ini""",Non-bullying,9 Agustus 2020,@eeericko,,,karya brd titik,"['karya', 'brd', 'titik']"
470,471,@dfaayzaqp,"""Stop lah ngatain orang lain lu pada itu yg ngatain orang lain ngaca dlu sebelum ngatain kayak suci aja hidup lu pada""",Non-bullying,9 Agustus 2020,@eeericko,,,stop katai orang lu katai orang kaca katai kayak suci hidup lu,"['stop', 'katai', 'orang', 'lu', 'katai', 'orang', 'kaca', 'katai', 'kayak', 'suci', 'hidup', 'lu']"
471,472,@dztaaaaa_,"""Yang ngatain keknya idupnya gapernag bikin kesalahan""",Non-bullying,9 Agustus 2020,@eeericko,,,katai kayak hidup gapernag bikin salah,"['katai', 'kayak', 'hidup', 'gapernag', 'bikin', 'salah']"
472,473,@jenio_rh,"""Jadi gila kau rupanya karna gak laku lagi di YouTube""",Bullying,13 Januari 2021,@eeericko,,,gila enggak laku youtube,"['gila', 'enggak', 'laku', 'youtube']"
473,474,@mantap2560,"""Kasian yah sdh stress banyak masalah""",Bullying,13 Januari 2021,@eeericko,,,kasihan stres,"['kasihan', 'stres']"
474,475,@fjrnstyawan_,"""Kok jatohnya malah kek ajg sih rikkk""",Bullying,13 Januari 2021,@eeericko,,,jatohnya kayak ajg rik,"['jatohnya', 'kayak', 'ajg', 'rik']"
475,476,@wiliamsiant,"""Karir turun jadi autis kasian hahah""",Bullying,13 Januari 2021,@eeericko,,,karir turun autis kasihan hahah,"['karir', 'turun', 'autis', 'kasihan', 'hahah']"
476,477,@o_em_ji,"""erick yang kek gini yang gua kangenin, keep it up bruuh""",Non-bullying,13 Januari 2021,@eeericko,,,erick kayak kangenin keep up bruuh,"['erick', 'kayak', 'kangenin', 'keep', 'up', 'bruuh']"
477,478,@arikinanta96,"""Udah mau autis iya bg awokawkk""",Bullying,13 Januari 2021,@eeericko,,,autis bang awokawk,"['autis', 'bang', 'awokawk']"
478,479,@egioktvwn,"""Kasian masih muda udah stresss""",Bullying,13 Januari 2021,@eeericko,,,kasihan muda stres,"['kasihan', 'muda', 'stres']"
479,480,@ardinn.__,"""Banyak komen yg support malah ketutup yg hate bgst emang IG""",Non-bullying,13 Januari 2021,@eeericko,,,komen support tutup hate bgst ig,"['komen', 'support', 'tutup', 'hate', 'bgst', 'ig']"
480,481,@aini.eni.142892,"""Maudy cantik na natural bnr2 cantik bgt, cantik luar dlm""",Non-bullying,21 Maret 2021,@maudyayunda,,,maudy cantik natural cantik cantik,"['maudy', 'cantik', 'natural', 'cantik', 'cantik']"
481,482,@imnotravi,"""Bikin konten YouTube Student life at standford @maudyayunda seperti waktu S1 at Oxford. Fansmu pada nungguin nih.""",Non-bullying,21 Maret 2021,@maudyayunda,,,bikin konten youtube student life at standford at oxford fansmu tunggu nih,"['bikin', 'konten', 'youtube', 'student', 'life', 'at', 'standford', 'at', 'oxford', 'fansmu', 'tunggu', 'nih']"
482,483,@riskarmdhni,"""Aura org pinter emg shining ya bun @hy_dindut""",Non-bullying,21 Maret 2021,@maudyayunda,,,aura orang pintar shining bun,"['aura', 'orang', 'pintar', 'shining', 'bun']"
483,484,@gracepala04,"""Paket lengkap deh.. udh cantik pintar lagi""",Non-bullying,21 Maret 2021,@maudyayunda,,,paket lengkap deh cantik pintar,"['paket', 'lengkap', 'deh', 'cantik', 'pintar']"
484,485,@kasih_sliver87,"""Sukaa bnget sm artis ini nggak neko2.. dan natural bngett""",Non-bullying,21 Maret 2021,@maudyayunda,,,suka artis enggak neko natural,"['suka', 'artis', 'enggak', 'neko', 'natural']"
485,486,@rir8558,"""Cantik, pintar bertalenta, ortu mana yg gak kepengen punya anak kyk mba maudy""",Non-bullying,21 Maret 2021,@maudyayunda,,,cantik pintar talenta orang tua enggak ken anak kayak mbak maudy,"['cantik', 'pintar', 'talenta', 'orang', 'tua', 'enggak', 'ken', 'anak', 'kayak', 'mbak', 'maudy']"
486,487,@melonktheyalni,"""Idih mak lampir, dibanding uya ma lu, lu bagaikan butiran debu,, lu dikenal karena bacot rajin2 ngaca deh""",Bullying,1 Juni 2021,@dennisechariesta,,,idih mak lampir banding uya lu lu butir debu lu kenal bacot rajin kaca deh,"['idih', 'mak', 'lampir', 'banding', 'uya', 'lu', 'lu', 'butir', 'debu', 'lu', 'kenal', 'bacot', 'rajin', 'kaca', 'deh']"
487,488,@story_quots_,"""Anjirlah muka lo kek kuntilanak malah sok cantik""",Bullying,1 Juni 2021,@dennisechariesta,,,anjir muka lo kayak kuntilanak sok cantik,"['anjir', 'muka', 'lo', 'kayak', 'kuntilanak', 'sok', 'cantik']"
488,489,@aqxa_nadya,"""Mbak cadel yg bangga dengan cadelnya,, Harusnya sih kasihan karna cadel tapi lama"" jadi jijik kenapa gak sekalian bisu aja""",Bullying,1 Juni 2021,@dennisechariesta,,,mbak cadel bangga cadel kasihan cadel jijik enggak bisu,"['mbak', 'cadel', 'bangga', 'cadel', 'kasihan', 'cadel', 'jijik', 'enggak', 'bisu']"
489,490,@lailmfdh,"""Uda pinter, cantik gak kebanyakan tingkah. Perfect""",Non-bullying,22 Maret 2021,@maudyayunda,,,pintar cantik enggak banyak tingkah perfect,"['pintar', 'cantik', 'enggak', 'banyak', 'tingkah', 'perfect']"
490,491,@rullyans_ighoney,"""Hati-hati mody jangan keluar sendirian jaga-jaga serangan brutal rasisme, wajahmu sekilas mirip onnie2 korea. Tetap waspada""",Non-bullying,22 Maret 2021,@maudyayunda,,,hati hati mody jaga jaga serang brutal rasisme wajah onnie korea waspada,"['hati', 'hati', 'mody', 'jaga', 'jaga', 'serang', 'brutal', 'rasisme', 'wajah', 'onnie', 'korea', 'waspada']"
491,492,@urbbnaya,"""Bikin konten Youtube daily activity di Stanford dong kak @maudyayunda""",Non-bullying,22 Maret 2021,@maudyayunda,,,bikin konten youtube daily activity stanford kak,"['bikin', 'konten', 'youtube', 'daily', 'activity', 'stanford', 'kak']"
492,493,@breath_ice2,"""Motivasi ku ka Maudy cantipp bngt""",Non-bullying,22 Maret 2021,@maudyayunda,,,motivasi ku kak maudy cantik,"['motivasi', 'ku', 'kak', 'maudy', 'cantik']"
493,494,@dwisetyaakns24af,"""Semoga kecerdasan Mbak Maudy bermanfaat bagi agama, nusa, dan bangsa.. Aamiin""",Non-bullying,22 Maret 2021,@maudyayunda,,,moga cerdas mbak maudy manfaat agama nusa bangsa amin,"['moga', 'cerdas', 'mbak', 'maudy', 'manfaat', 'agama', 'nusa', 'bangsa', 'amin']"
494,495,@ahmadnfsv,"""Damage nya cewek pinter gada lawann""",Non-bullying,22 Maret 2021,@maudyayunda,,,damage cewek pintar enggak lawan,"['damage', 'cewek', 'pintar', 'enggak', 'lawan']"
495,496,@ru_kiiaah98,"""cantikan waktu berisi dulu sekarang kurus bgt, kurus begini auranya kurang""",Bullying,19 Desember 2020,@isyanasarasvati,,,cantik isi kurus kurus aura,"['cantik', 'isi', 'kurus', 'kurus', 'aura']"
496,497,@pptsptyn,"""cantik sih, tapi sayang kurus ya. padahl udh nikah lo, kurang bahagia sama pernikahannya?""",Bullying,19 Desember 2020,@isyanasarasvati,,,cantik sayang kurus nikah lo bahagia nikah,"['cantik', 'sayang', 'kurus', 'nikah', 'lo', 'bahagia', 'nikah']"
497,498,@drchristlesman,"""masih good vibes walaupun sedang lapar""",Non-bullying,2 April 2021,@maudyayunda,,,good vibes lapar,"['good', 'vibes', 'lapar']"
498,499,@ekaacahyaaa,"""kakak cantik bgt bismillah cerdasnya nular""",Non-bullying,2 April 2021,@maudyayunda,,,kakak cantik bismillah cerdas nular,"['kakak', 'cantik', 'bismillah', 'cerdas', 'nular']"
499,500,@riyan_w_p,"""Bego lu. Alam semesta dan seisinya pun serentak murka mendengarkan lagumu""",Bullying,2 Juni 2021,@denisechariesta,,,bego lu alam semesta isi serentak murka dengar lagu,"['bego', 'lu', 'alam', 'semesta', 'isi', 'serentak', 'murka', 'dengar', 'lagu']"
500,501,@melly_goeslaw,"""Dua2 nya cantik banget masya Allah""",Non-bullying,5 April 2021,@maudyayunda,,,cantik masya allah,"['cantik', 'masya', 'allah']"
501,502,@ykzlk_sk,"""ka nisa mirip ariana grande masa""",Non-bullying,5 April 2021,@maudyayunda,,,kak nisa ariana grande,"['kak', 'nisa', 'ariana', 'grande']"
502,503,@musaasep_,"""Adiknya Kak Maudy, cantik, pinter, aura positifnya keluar, ramah, lemah lembut, rajin, sholeha""",Non-bullying,5 April 2021,@maudyayunda,,,adik kak maudy cantik pintar aura positif ramah lemah lembut rajin sholeha,"['adik', 'kak', 'maudy', 'cantik', 'pintar', 'aura', 'positif', 'ramah', 'lemah', 'lembut', 'rajin', 'sholeha']"
503,504,@iswindarty_cici,"""Sekilas yg abu mirip ariana grande haha""",Non-bullying,5 April 2021,@maudyayunda,,,abu ariana grande haha,"['abu', 'ariana', 'grande', 'haha']"
504,505,@wenddyfanny19,"""Yang satu nya mirip Ariana grande""",Non-bullying,5 April 2021,@maudyayunda,,,ariana grande,"['ariana', 'grande']"
505,506,@sla_metwidodo1111,"""Kakak sama adek sama sama cantik ya aku suka sama dua duanya""",Non-bullying,5 April 2021,@maudyayunda,,,kakak adek cantik suka dua,"['kakak', 'adek', 'cantik', 'suka', 'dua']"
506,507,@nakhanadia12,"""Rambutnya kak modd bagussss Item berkilauu""",Non-bullying,5 April 2021,@maudyayunda,,,rambut kak mod bagus item kilau,"['rambut', 'kak', 'mod', 'bagus', 'item', 'kilau']"
507,508,@itsme_lila25,"""Cantik semua congrats kak msuk nominsi tc candler""",Non-bullying,5 April 2021,@maudyayunda,,,cantik congrats kak masuk nominsi tc candler,"['cantik', 'congrats', 'kak', 'masuk', 'nominsi', 'tc', 'candler']"
508,509,@chrysputami,"""Maudy enak bet dah cantik iya pinter iya""",Non-bullying,5 April 2021,@maudyayunda,,,maudy enak deh cantik pintar,"['maudy', 'enak', 'deh', 'cantik', 'pintar']"
509,510,@kendaknyolah,"""kukira dedeknya berdiri itu mau mukul bang jer pake ukulele ternyata aku salah salah :""""",Non-bullying,27 Februari 2021,@jeromepolin,,,kira adeknya diri mukul bang jer pakai ukulele salah salah,"['kira', 'adeknya', 'diri', 'mukul', 'bang', 'jer', 'pakai', 'ukulele', 'salah', 'salah']"
510,511,@oneuldo_orenji12,"""Bang jerome KLO nyanyiny kek gini bagus suaranya ganyangkaaa""",Non-bullying,27 Februari 2021,@jeromepolin,,,bang jerome kalo nyanyiny kayak bagus suara ganyangka,"['bang', 'jerome', 'kalo', 'nyanyiny', 'kayak', 'bagus', 'suara', 'ganyangka']"
511,512,@weirdlifes_,"""Sutan kamu sangat lucu dan menggemaskan""",Non-bullying,27 Februari 2021,@jeromepolin,,,sutan lucu gemas,"['sutan', 'lucu', 'gemas']"
512,513,@misnasari26,"""Bang sering-sering dong buat vidio bareng sutan dia kayanya juga seneng ama bang jerom""",Non-bullying,27 Februari 2021,@jeromepolin,,,bang vidio bareng sutan kaya senang bang jerom,"['bang', 'vidio', 'bareng', 'sutan', 'kaya', 'senang', 'bang', 'jerom']"
513,514,@cutmustikadela,"""Klu @jeromepoline buat video tapi berdua aja seharian sama anak kecil, hahah lucu juga gimana riwehnya""",Non-bullying,27 Februari 2021,@jeromepolin,,,video dua hari anak hahah lucu riwehnya,"['video', 'dua', 'hari', 'anak', 'hahah', 'lucu', 'riwehnya']"
514,515,@aldy_rhmd_,"""Muka lu kok cabul banget sih bg hahah""",Bullying,26 April 2021,@eeericko,,,muka lu cabul bang hahah,"['muka', 'lu', 'cabul', 'bang', 'hahah']"
515,516,@donialviansaputraaa,"""Dari raut mukanya aja udh terlihat seperti org kalah judi dan tidak pernah makan enak""",Bullying,26 April 2021,@eeericko,,,raut muka orang kalah judi makan enak,"['raut', 'muka', 'orang', 'kalah', 'judi', 'makan', 'enak']"
516,517,@nurus_sobah_99,"""Kak jerome kayak boneka tau hahah""",Non-bullying,17 Februari 2021,@jeromepolin,,,kak jerome kayak boneka tau hahah,"['kak', 'jerome', 'kayak', 'boneka', 'tau', 'hahah']"
517,518,@gxjrx,"""Mukbang makanan sehat dong kak. Salad jepang gituuu.""",Non-bullying,17 Februari 2021,@jeromepolin,,,mukbang makan sehat kak salad jepang,"['mukbang', 'makan', 'sehat', 'kak', 'salad', 'jepang']"
518,519,@itsme_inr,"""Yakinin dulu niatnya bg Semoga sukses""",Non-bullying,17 Februari 2021,@jeromepolin,,,yakinin niat bang moga sukses,"['yakinin', 'niat', 'bang', 'moga', 'sukses']"
519,520,@nikenwidd_,"""Bang, aku nonton kamu setelah aku kerja di Jepang. Bermanfaat bgt kontennya jd gampang kalo mau nyari apa apa di Jepang""",Non-bullying,17 Februari 2021,@jeromepolin,,,bang tonton kerja jepang manfaat konten gampang kalo cari jepang,"['bang', 'tonton', 'kerja', 'jepang', 'manfaat', 'konten', 'gampang', 'kalo', 'cari', 'jepang']"
520,521,@olla.azizah,"""Cuman rumus diet ini yg ga bisa dipecahka ya bang?""",Non-bullying,17 Februari 2021,@jeromepolin,,,cuman rumus diet enggak dipecahka bang,"['cuman', 'rumus', 'diet', 'enggak', 'dipecahka', 'bang']"
521,522,@can_kenzie_can,"""Perut makin maju tpi semangat jangan tak maju""",Non-bullying,17 Februari 2021,@jeromepolin,,,perut maju semangat tak maju,"['perut', 'maju', 'semangat', 'tak', 'maju']"
522,523,@depi1310,"""Pantesan kak Jessica bilang bang jerom beruang wkwkwk""",Non-bullying,17 Februari 2021,@jeromepolin,,,pantesan kak jessica bilang bang jerom beruang wkwkwk,"['pantesan', 'kak', 'jessica', 'bilang', 'bang', 'jerom', 'beruang', 'wkwkwk']"
523,524,@lionessariexkunthi,"""Aduhh susah klo urusan sma Jerome rumus matematika terus bahasannya Apakah daya diriku yg lebih suka bhs Inggris drpd matematika""",Non-bullying,7 Maret 2021,@jeromepolin,,,aduh susah kalo urus jerome rumus matematika bahas daya diri suka bahasa inggris matematika,"['aduh', 'susah', 'kalo', 'urus', 'jerome', 'rumus', 'matematika', 'bahas', 'daya', 'diri', 'suka', 'bahasa', 'inggris', 'matematika']"
524,525,@belumadajudullagi,"""Kaya tulus ya mukanya klo diliat2""",Non-bullying,7 Maret 2021,@jeromepolin,,,kayak tulus muka kalo,"['kayak', 'tulus', 'muka', 'kalo']"
525,526,@_silnora05,"""Kak Jerome, bagi trik biar bisa paham dan ingat cepat rumus matematika, dung:)""",Non-bullying,7 Maret 2021,@jeromepolin,,,kak jerome trik biar paham cepat rumus matematika,"['kak', 'jerome', 'trik', 'biar', 'paham', 'cepat', 'rumus', 'matematika']"
526,527,@wen_margareth,"""Baru x ini baca caption harus mikir dan pakai kalkulator cuyyy hahaha""",Non-bullying,7 Maret 2021,@jeromepolin,,,baca caption mikir pakai kalkulator hahaha,"['baca', 'caption', 'mikir', 'pakai', 'kalkulator', 'hahaha']"
527,528,@ayomindan_15,"""Sumpah si kak, kemeja jeans bikin keliatan seger bgt mantap mantap""",Non-bullying,15 Maret 2021,@jeromepolin,,,sumpah kak kemeja jeans bikin segar mantap mantap,"['sumpah', 'kak', 'kemeja', 'jeans', 'bikin', 'segar', 'mantap', 'mantap']"
528,529,@ini.ataaaa,"""Mirip ama aktor korea yg main di film reply 1988 yg jadi kaka nya jung hwan wkwk""",Non-bullying,15 Maret 2021,@jeromepolin,,,aktor korea main film reply kakak jung hwan wkwk,"['aktor', 'korea', 'main', 'film', 'reply', 'kakak', 'jung', 'hwan', 'wkwk']"
529,530,@michael.saputra2006,"""iya bang jer terlihat berbeda klo pake style kayak gini lebih terlihat fresh anak gaul""",Non-bullying,15 Maret 2021,@jeromepolin,,,bang jer beda kalo pakai style kayak fresh anak gaul,"['bang', 'jer', 'beda', 'kalo', 'pakai', 'style', 'kayak', 'fresh', 'anak', 'gaul']"
530,531,@be_l.aa,"""Klo style ke gini pas gitu bang sma umur lu yg msh muda keliatan lbh fresh aja sesuai sma umur""",Non-bullying,15 Maret 2021,@jeromepolin,,,kalo style bang umur lu muda fresh sesuai umur,"['kalo', 'style', 'bang', 'umur', 'lu', 'muda', 'fresh', 'sesuai', 'umur']"
531,532,@riskyapp,"""Kok makin dewasa makin imutt aih cipaaaaaa""",Non-bullying,6 Mei 2020,@syifahadjureal,,,dewasa imut aih cipa,"['dewasa', 'imut', 'aih', 'cipa']"
532,533,@ryaamelliaa,"""maniss bangettt pengen dah punya senyuman manis kayak ka syifaaa""",Non-bullying,6 Mei 2020,@syifahadjureal,,,manis pengin deh senyum manis kayak kak syifa,"['manis', 'pengin', 'deh', 'senyum', 'manis', 'kayak', 'kak', 'syifa']"
533,534,@windasarimulyadi,"""Nih orang manis bnget sihh ga ngerti lagi""",Non-bullying,6 Mei 2020,@syifahadjureal,,,nih orang manis enggak erti,"['nih', 'orang', 'manis', 'enggak', 'erti']"
534,535,@isacgibran,"""Kakak pinter nyanyi ya @syifahadjureal, suaranya bagus kak""",Non-bullying,6 Mei 2020,@syifahadjureal,,,kakak pintar nyanyi suara bagus kak,"['kakak', 'pintar', 'nyanyi', 'suara', 'bagus', 'kak']"
535,536,@ichafiii,"""Gk salah kalo kak syifa cantik mamahnya aja cantik bgtt!! Jujurr""",Non-bullying,24 Mei 2020,@syifahadjureal,,,enggak salah kalo kak syifa cantik mamah cantik jujur,"['enggak', 'salah', 'kalo', 'kak', 'syifa', 'cantik', 'mamah', 'cantik', 'jujur']"
536,537,@erdizairaputri,"""Lelaki yg mendapatkan km. Adalah lelaki yg beruntung.""",Non-bullying,24 Mei 2020,@syifahadjureal,,,lelaki lelaki untung,"['lelaki', 'lelaki', 'untung']"
537,538,@raffajiah,"""Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu""",Non-bullying,24 Mei 2020,@syifahadjureal,,,ayah kalo adik mama,"['ayah', 'kalo', 'adik', 'mama']"
538,539,@rahmaaaaliaaaaa,"""Kakak udah cantik sii, tapi cantikan lagi kalo pake hijab""",Non-bullying,24 Mei 2020,@syifahadjureal,,,kakak cantik cantik kalo pakai hijab,"['kakak', 'cantik', 'cantik', 'kalo', 'pakai', 'hijab']"
539,540,@anisaanis62,"""Gemeshh rasanya kaya aku pengen cubit""",Non-bullying,9 Juni 2020,@syifahadjureal,,,gemesh kayak pengin cubit,"['gemesh', 'kayak', 'pengin', 'cubit']"
540,541,@elizabethkezia4u,"""@angelkmgi ini paling cute sih, ganteng parah msh kecil jg""",Non-bullying,9 Juni 2020,@syifahadjureal,,,cute ganteng parah,"['cute', 'ganteng', 'parah']"
541,542,@frdaanii24_,"""Pengen gw pacul mulut lo!! woii anjeng busuk""",Bullying,3 Maret 2021,@lutiagizal,,,pengin pacul mulut lo woi anjeng busuk,"['pengin', 'pacul', 'mulut', 'lo', 'woi', 'anjeng', 'busuk']"
542,543,@salsabilangin,"""Sering blg ke org2 artis cewek yg menurutku paling cantik syifa sama ziu""",Non-bullying,10 Juni 2020,@syifahadjureal,,,bilang orang artis cewek turut cantik syifa ziu,"['bilang', 'orang', 'artis', 'cewek', 'turut', 'cantik', 'syifa', 'ziu']"
543,544,@kylagluh,"""Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula""",Non-bullying,10 Juni 2020,@syifahadjureal,,,kak cipa cantik manis manis nglebihin gula,"['kak', 'cipa', 'cantik', 'manis', 'manis', 'nglebihin', 'gula']"
544,545,@patmisrisupatmi501,"""Dilihat sekilas pun tampak jelas kalau cantikkan syifa""",Non-bullying,10 Juni 2020,@syifahadjureal,,,cantik syifa,"['cantik', 'syifa']"
545,546,@ike_wulandari01,"""Setuju g sih? Si dia tetep cntik bgt meski g pke make up lah aku g pke make up pucet bgt kyk g makan setahunn""",Non-bullying,17 Juni 2020,@syifahadjureal,,,tuju enggak cantik enggak pakai pakai up enggak pakai pakai up pucet kayak enggak makan tahun,"['tuju', 'enggak', 'cantik', 'enggak', 'pakai', 'pakai', 'up', 'enggak', 'pakai', 'pakai', 'up', 'pucet', 'kayak', 'enggak', 'makan', 'tahun']"
546,547,@_biiibill,"""dahlahh emang cantik luar dalam kmu ini cippp""",Non-bullying,17 Juni 2020,@syifahadjureal,,,dah cantik cip,"['dah', 'cantik', 'cip']"
547,548,@masanggaofficial,"""Muka cantik tanpa make up hini, bahagia bgt kali ya yg jadi suaminya, bisa liat bidadari setiap harinya.""",Non-bullying,17 Juni 2020,@syifahadjureal,,,muka cantik pakai up hini bahagia suami lihat bidadari hari,"['muka', 'cantik', 'pakai', 'up', 'hini', 'bahagia', 'suami', 'lihat', 'bidadari', 'hari']"
548,549,@fettyfuriyanireal96,"""Suka bgtt sm kak cipaa.. orangnya humble sm semua orang dan banyak temannya juga""",Non-bullying,17 Juni 2020,@syifahadjureal,,,suka kak cipa orang humble orang teman,"['suka', 'kak', 'cipa', 'orang', 'humble', 'orang', 'teman']"
549,550,@itsme.imel__,"""Artis remaja di Indonesia yg manis bgt kalo senyum Cuma dia deh perasaan yg nempel di hati""",Non-bullying,17 Juni 2020,@syifahadjureal,,,artis remaja indonesia manis kalo senyum deh asa tempel hati,"['artis', 'remaja', 'indonesia', 'manis', 'kalo', 'senyum', 'deh', 'asa', 'tempel', 'hati']"
